Label;Wort;Information Gain
Vaterlands & Heimatlieder;deutsch;0.16111
Vaterlands & Heimatlieder;wein;0.09499
Vaterlands & Heimatlieder;trinken;0.08267
Vaterlands & Heimatlieder;leben;0.07608
Vaterlands & Heimatlieder;treu;0.06972
Vaterlands & Heimatlieder;frei;0.06154
Vaterlands & Heimatlieder;unsrer;0.05423
Vaterlands & Heimatlieder;fest;0.05198
Vaterlands & Heimatlieder;drum;0.04938
Vaterlands & Heimatlieder;froh;0.04745
Vaterlands & Heimatlieder;alt;0.04183
Vaterlands & Heimatlieder;frisch;0.03928
Vaterlands & Heimatlieder;stark;0.0381
Vaterlands & Heimatlieder;singen;0.03786
Vaterlands & Heimatlieder;weihen;0.03721
Vaterlands & Heimatlieder;lieb;0.03584
Vaterlands & Heimatlieder;reich;0.03583
Vaterlands & Heimatlieder;jung;0.03568
Vaterlands & Heimatlieder;voll;0.03567
Vaterlands & Heimatlieder;stolz;0.03494
Vaterlands & Heimatlieder;streben;0.03386
Vaterlands & Heimatlieder;halten;0.03352
Vaterlands & Heimatlieder;deutsche;0.03286
Vaterlands & Heimatlieder;fröhlich;0.03279
Vaterlands & Heimatlieder;sprechen;0.03254
Vaterlands & Heimatlieder;nit;0.03175
Vaterlands & Heimatlieder;gelten;0.03114
Vaterlands & Heimatlieder;wär;0.03075
Vaterlands & Heimatlieder;kühn;0.02958
Vaterlands & Heimatlieder;heut;0.02935
Vaterlands & Heimatlieder;mutig;0.0286
Vaterlands & Heimatlieder;bleiben;0.02833
Vaterlands & Heimatlieder;sterben;0.02797
Vaterlands & Heimatlieder;heil;0.02745
Vaterlands & Heimatlieder;heilg;0.02736
Vaterlands & Heimatlieder;heilig;0.02697
Vaterlands & Heimatlieder;schwören;0.02624
Vaterlands & Heimatlieder;schlagen;0.0261
Vaterlands & Heimatlieder;empor;0.02608
Vaterlands & Heimatlieder;ewig;0.02605
Vaterlands & Heimatlieder;lassen;0.02594
Vaterlands & Heimatlieder;klein;0.02585
Vaterlands & Heimatlieder;schön;0.02532
Vaterlands & Heimatlieder;grün;0.02526
